OID_,CID,random,DR_SLOPE,DR_ROAD,DR_DRA,DR_DEM,DR_ASPECT,PGA0_1,PGV0_1,DIS_FAULT0_1,PP0_1,POINT_X,POINT_Y,DR_GEO,PGV01,PGA01,DIS_FAULT01,PP01,DR_FAULT,DR_PGA,DR_PGV,DR_PP,DIS_FAULT,PGA,PGV,PP,P_PP,P_PP_V,P_PP_A,P_PGV,P_PGA,P_FAU,P_FAU_A
1,1,0.00024122,1.3505726,1.9570681,0.5590755,2.6639924,0.6707735,0.794196074,-0.0891318,0.138222453,0.000576366,-118.6782677,34.32182282,0.6808639,0.45,0.759999971,0.43246637,0.591024582,0.9397259,1.0628572,1.1547459,1.6518499,10.3691,0.74,60,0.512488,0.9349296,0.9808853,0.9402512,0.9391178,0.6933866,0.8869541,0.925532
2,1,0.000391364,5.0127993,1.9570681,0.9781319,2.6639924,1.0189182,1.120908042,0.3572046,-0.063736883,0.109956532,-118.6596769,34.31849651,0.6808639,0.55,0.839999971,0.383113987,0.62158596,1.3560724,1.0628572,1.1547459,1.6518499,9.186,0.78,68,0.525393,0.9897584,0.9974522,0.9885472,0.9927249,0.9449557,0.8844231,0.8693246
3,1,0.000831306,1.3505726,0.3625256,0.5590755,0.837518,1.0189182,-0.349295815,0.6919569,-0.857798456,1.095047617,-118.6119341,34.43305456,1.5959048,0.625,0.479999971,0.189070812,0.896825447,1.2932247,0.7828309,1.2530659,1.3733321,4.5343,0.6,74,0.641617,0.6497636,0.5520605,0.5984474,0.631114,0.6433651,0.2419533,0.0457385
4,1,0.00099498,1.3505726,1.9570681,0.5590755,0.837518,1.0189182,0.140772137,-0.4238842,0.431200908,-0.141300008,-118.7044294,34.32432005,1.5959048,0.375,0.599999971,0.504060906,0.551383598,0.9397259,0.7828309,1.1547459,0.5332748,12.0854,0.66,54,0.495749,0.7647678,0.9606834,0.7547296,0.9365529,0.8549545,0.8711314,0.8195055
5,1,0.001501858,2.8545845,0.6591374,1.289903,0.837518,1.2945342,-1.166075736,-0.3123,-0.283995638,0.761567366,-118.6644473,34.43692005,1.5959048,0.4,0.279999971,0.329289813,0.803649359,1.3560724,1.2643212,1.1547459,1.3733321,7.8957,0.5,56,0.602272,0.8199489,0.9469996,0.7440258,0.9365529,0.7269098,0.4429989,0.173647
6,1,0.001866162,1.3505726,0.4474685,1.289903,0.837518,1.4390537,1.44762001,1.8077979,-1.240635244,0.935880616,-118.5062333,34.31539191,0.0553545,0.875,0.919999971,0.095517781,0.852353373,1.2932247,0.9155879,0.7968163,1.3733321,2.2916,0.82,94,0.622838,0.2350521,0.1180529,0.6139624,0.1968657,0.2084986,0.0562529,0.031707
7,1,0.001986623,2.8545845,1.335148,1.289903,0.837518,0.6707735,-0.676007783,0.0224523,-0.189989208,0.483561209,-118.6818622,34.37393422,1.5959048,0.475,0.399999971,0.352261969,0.725973017,1.3560724,1.0941976,1.1547459,1.6518499,8.4464,0.56,62,0.569472,0.8856443,0.9796278,0.8885485,0.9494538,0.9461398,0.5651281,0.4890016
8,1,0.00206238,0.2045381,1.9570681,0.5590755,2.6639924,1.2945342,-1.166075736,-0.9818047,-0.887893487,0.875609221,-118.3966101,34.33512538,1.3795432,0.25,0.279999971,0.181716551,0.835513237,1.2932247,1.2643212,0.707796,1.3733321,4.358,0.5,44,0.615727,0.5339476,0.410718,0.5157447,0.3593931,0.4672966,0.1522579,0.0302953
9,1,0.002374172,5.0127993,1.9570681,0.9781319,2.6639924,0.8505477,1.284264026,0.5803728,-0.347087659,0.290592728,-118.6312553,34.3202488,0.6808639,0.6,0.879999971,0.313872147,0.672056637,1.3560724,0.9155879,1.2530659,1.6518499,7.5261,0.8,72,0.546705,0.9939039,0.992811,0.9984807,0.9883416,0.9841561,0.9260816,0.9705451
10,1,0.00250566,5.0127993,1.9570681,1.0484922,0.6614413,0.8505477,-1.166075736,-0.9818047,-0.701229186,0.771119589,-118.4031404,34.35093285,1.3795432,0.25,0.279999971,0.227331319,0.8063183,1.3560724,1.2643212,0.707796,1.3733321,5.4515,0.5,44,0.603399,0.7965711,0.723122,0.7265124,0.7560231,0.7706527,0.3948429,0.1474175
