OID_,CID,random,DR_SLOPE,DR_ROAD,DR_DRA,DR_DEM,DR_ASPECT,PGA0_1,PGV0_1,DIS_FAULT0_1,PP0_1,POINT_X,POINT_Y,DR_GEO,PGV01,PGA01,DIS_FAULT01,PP01,DR_FAULT,DR_PGA,DR_PGV,DR_PP,DIS_FAULT,PGA,PGV,PP,P_PP,P_PP_V,P_PP_A,P_PGV,P_PGA,P_FAU,P_FAU_A
1,0,0.00024122,0.2045381,0.4474685,1.289903,0.837518,1.4390537,0.304128121,0.4687887,-1.274878371,0.985125,368545.5993,3794233.176,0.0553545,0.575,0.639999971,0.08714986,0.866112506,1.2932247,0.7828309,1.1547459,1.3733321,2.091,0.68,70,0.628648,0.0346899,0.0517596,0.0247951,0.0775579,0.0217319,0.0069503,0.0006441
2,0,0.000391364,2.8545845,1.9570681,1.289903,0.837518,1.298568,-0.676007783,-0.5354682,-0.293486753,0.691209771,359443.2282,3812321.718,1.5959048,0.35,0.399999971,0.326970489,0.783991088,1.3560724,1.0941976,1.1547459,1.6518499,7.8401,0.56,52,0.593971,0.969261,0.9947014,0.9725885,0.9859225,0.9832917,0.7827899,0.7861714
3,0,0.000831306,0.2045381,1.335148,0.5590755,0.0125011,1.298568,0.957552058,0.4687887,0.308123669,-0.658060904,354141.4223,3791418.595,0.0553545,0.575,0.799999971,0.473984777,0.406997961,0.9397259,1.0628572,1.1547459,0.5332748,11.3644,0.76,70,0.43478,0.0046696,0.0202528,0.0072895,0.0087493,0.0012911,0.0078997,0.0072751
4,0,0.00099498,0.2045381,0.1167302,0.9781319,0.0125011,0.6437082,0.304128121,0.1340364,-0.192054721,-0.17719501,364245.5743,3788744.585,0.0553545,0.5,0.639999971,0.351757224,0.541354351,1.3560724,0.7828309,1.1547459,0.5332748,8.4343,0.68,64,0.491514,0.0004362,0.0016358,0.0002992,0.000771,0.000126,0.0000923,0.0000198
5,0,0.001501858,0.2045381,1.335148,0.5590755,0.0125011,1.4390537,1.120908042,0.803541,0.151400765,-0.576074515,357714.2129,3790440.924,0.0553545,0.65,0.839999971,0.435686727,0.429905377,0.9397259,1.0628572,1.2530659,0.5332748,10.4463,0.78,76,0.444453,0.005766,0.0051479,0.0087319,0.0039978,0.0015315,0.0100807,0.0088715
6,0,0.001866162,0.2045381,1.335148,0.9781319,0.837518,1.0189182,-1.656143688,-1.5397252,1.635616677,-1.869091322,358314.6212,3779107.923,1.5959048,0.125,0.159999971,0.798381484,0.068629869,0.1831135,1.2643212,0.707796,0.2272355,19.141,0.44,34,0.291899,0.2981755,0.2525612,0.0837848,0.2113179,0.3186462,0.4070917,0.4128977
7,0,0.001986623,0.2045381,0.3625256,0.5590755,0.0125011,1.4390537,0.957552058,1.6962138,-0.802353952,0.466804557,364135.1482,3793293.474,0.0553545,0.85,0.799999971,0.20261967,0.721291123,1.2932247,1.0628572,0.7968163,1.6518499,4.8591,0.76,92,0.567495,0.00563,0.0040905,0.0040018,0.0012846,0.000519,0.0005462,0.0001249
8,0,0.00206238,0.2045381,0.1167302,0.5590755,0.837518,0.8505477,0.140772137,-0.4238842,1.141720177,-0.785502995,341336.8762,3794941.634,0.6808639,0.375,0.599999971,0.677689023,0.371389989,0.1831135,0.7828309,1.1547459,0.5332748,16.2477,0.66,54,0.419744,0.0032919,0.0180925,0.0029647,0.0035192,0.0005175,0.0024141,0.0024825
9,0,0.002374172,1.3505726,1.9570681,1.0484922,1.7059875,1.2945342,-1.002719752,-0.6470523,0.527409413,-0.044540304,341669.726,3802857.733,1.5959048,0.325,0.319999971,0.527571179,0.578418754,0.9397259,1.0941976,0.707796,1.6518499,12.649,0.52,50,0.507165,0.9016771,0.8641272,0.903174,0.7929829,0.9446427,0.9141975,0.9294979
10,0,0.00250566,0.2045381,0.3625256,0.9781319,0.0125011,1.0189182,0.794196074,0.2456205,0.470035959,-0.763720195,352336.9869,3791523.758,0.6808639,0.525,0.759999971,0.513550947,0.377476215,0.9397259,1.0628572,1.1547459,0.5332748,12.3129,0.74,66,0.422314,0.0068611,0.0404655,0.0106974,0.00805,0.0007913,0.0064321,0.0081141
